timestamp,company,url,error
2026-07-09T07:52:24.186183,Earthpen,,no custom URL configured
timestamp,company,url,error
2026-07-09T07:52:24.186282,Argo Navis Aerospace,,no custom URL configured
2026-07-09T07:52:24.194462,Morf3D,,no custom URL configured
2026-07-09T07:53:27.008073,Morf3D,,no custom URL configured
2026-07-09T07:53:27.009162,Earthpen,,no custom URL configured
2026-07-09T07:53:27.013020,Argo Navis Aerospace,,no custom URL configured
